wilayah;kecamatan;kelurahan;nama_halte;lokasi
Jakarta Pusat;Tanah Abang;Tanah Abang;Bendungan Hilir;Jalan Jenderal Sudirman
Jakarta Pusat;Tanah Abang;Tanah Abang;Transjakarta Tanah Abang 1;Jalan Jatibaru
Jakarta Pusat;Tanah Abang;Tanah Abang;Polda Metro Jaya;Jalan Jenderal Sudirman
Jakarta Pusat;Tanah Abang;Tanah Abang;Karet;Jalan Jenderal Sudirman
Jakarta Pusat;Tanah Abang;Tanah Abang;Dukuh Atas;Jalan Jenderal Sudirman
Jakarta Pusat;Tanah Abang;Tanah Abang;Gerbang Pemuda Arah Barat;Jalan Jenderal Gatot Subroto
Jakarta Pusat;Tanah Abang;Tanah Abang;Gerbang Pemuda Arah Timur;Jalan Gatot Subroto
Jakarta Pusat;Tanah Abang;Tanah Abang;Ps. Palmerah;Jalan Tentara Pelajar
Jakarta Pusat;Tanah Abang;Tanah Abang;St. Palmerah;Jalan Tentara Pelajar
Jakarta Pusat;Tanah Abang;Tanah Abang;Petamburan;Jalan Gatot Subroto
Jakarta Pusat;Tanah Abang;Tanah Abang;Explorer Tanah Abang;Jalan Jatibaru
Jakarta Pusat;Tanah Abang;Tanah Abang;Senayan Bank DKI;Jalan Jenderal Sudirman
Jakarta Utara;Tanjung Priok;Tanjung Priok;Jakarta International Stadium;Jalan Danau Sunter Utara
Jakarta Utara;Tanjung Priok;Tanjung Priok;Danau Sunter;Jalan Danau Sunter Barat
Jakarta Utara;Tanjung Priok;Tanjung Priok;Jembatan Item;Jalan Danau Sunter Utara
Jakarta Utara;Tanjung Priok;Tanjung Priok;Sunter Boulevard Barat;Jalan Yos Sudarso
Jakarta Utara;Tanjung Priok;Tanjung Priok;Sunter Karya;Jalan Danau Sunter Utara
Jakarta Utara;Tanjung Priok;Tanjung Priok;Sunter Kelapa Gading;Simpang Susun Tanjung Priok
Jakarta Utara;Tanjung Priok;Tanjung Priok;Tanjung Priok;Jalan Taman Stasiun Tanjung Priok
Jakarta Utara;Tanjung Priok;Tanjung Priok;Walikota Kota Adm. Jakarta Utara Arah Utara;Jalan Yos Sudarso
Jakarta Utara;Kelapa Gading;Tanjung Priok;Kodamar;Jalan Yos Sudarso
Jakarta Utara;Tanjung Priok;Tanjung Priok;Sunter Utara;Jalan Danau Sunter Utara
Jakarta Utara;Tanjung Priok;Tanjung Priok;Danau Agung;Jalan Danau Sunter Barat
Jakarta Utara;Tanjung Priok;Tanjung Priok;Mambo;Jalan Enggano
Jakarta Selatan;Tebet;Tebet;Timur St. Manggarai;Jalan Manggarai Utara II
Jakarta Selatan;Tebet;Tebet;Tebet Eco Park Arah Timur;Jalan Letnan Jenderal MT Haryono
Jakarta Selatan;Tebet;Tebet;Pancoran Arah Timur;Jalan MT Haryono
Jakarta Selatan;Tebet;Tebet;Stasiun Tebet;Jalan K. Haji Abdul Syafi'ie
Jakarta Selatan;Tebet;Tebet;Plaza St. Manggarai;Jalan Manggarai Utara I
Jakarta Timur;Cakung;Ujung Menteng;Raya Bekasi Pulo Gebang;Jalan Bekasi Raya
